name,distance_m,moving_time_s,elapsed_time_s,elevation_change_m,type,date,average_cadence,average_heartrate,max_heartrate,pace_per_mile,distance_mi,id,time_of_day,average_zone,max_zone,ratio_avg_hr_to_max_hr
Evening Run,4734,0 days 00:23:17,1452,17.1,Run,2023-10-27,88.6,151.4,171,0 days 00:07:55.170068027,2.94,,evening,3,4,0.8853801169590644
Evening Run,2591,0 days 00:15:49,969,-3.2,Run,2023-11-01,85.8,140.9,153,0 days 00:09:49.440993788,1.61,,evening,3,4,0.9209150326797386
Afternoon Run,3227,0 days 00:15:57,991,-37.4,Run,2023-11-06,86.7,149.6,167,0 days 00:07:56.119402985,2.01,,afternoon,3,4,0.8958083832335328
Evening Run,4679,0 days 00:25:04,1504,-10.3,Run,2023-11-09,85.9,156.5,171,0 days 00:08:36.838487972,2.91,,evening,4,4,0.9152046783625731
Evening Run,3962,0 days 00:19:41,1197,-11.4,Run,2023-11-11,86.6,154.5,172,0 days 00:08:00.081300813,2.46,,evening,4,5,0.8982558139534884
Morning Run,5016,0 days 00:24:36,1479,-5.3,Run,2023-11-12,89.5,166.9,178,0 days 00:07:53.076923076,3.12,,morning,4,5,0.9376404494382022
Evening Run,5329,0 days 00:30:00,1804,-6.2,Run,2023-11-15,85.3,153.2,165,0 days 00:09:03.806646525,3.31,,evening,4,4,0.9284848484848485
Evening Run,3865,0 days 00:20:02,1216,-39.6,Run,2023-11-20,85.6,155.9,165,0 days 00:08:20.833333333,2.4,,evening,4,4,0.9448484848484849
Evening Run,3302,0 days 00:18:12,1182,-2.0,Run,2023-11-22,87.1,150.3,169,0 days 00:08:52.682926829,2.05,,evening,3,4,0.8893491124260355
Afternoon Run,2625,0 days 00:14:22,867,15.5,Run,2023-11-25,87.5,148.5,165,0 days 00:08:48.834355828,1.63,,afternoon,3,4,0.9
Morning Run,4922,0 days 00:23:52,1437,9.7,Run,2023-12-02,88.9,146.2,157,0 days 00:07:47.973856209,3.06,,morning,3,4,0.9312101910828025
Morning Run,4980,0 days 00:23:47,1427,12.5,Run,2023-12-03,90.4,156.8,174,0 days 00:07:40.322580645,3.1,,morning,4,5,0.9011494252873564
Evening Run,3624,0 days 00:21:44,1304,0.4,Run,2023-12-12,84.6,154.8,166,0 days 00:09:39.555555555,2.25,,evening,4,4,0.9325301204819277
Evening Run,5206,0 days 00:30:05,1805,-21.1,Run,2023-12-15,84.4,157.6,167,0 days 00:09:17.098765432,3.24,,evening,4,4,0.9437125748502994
Evening Run,5407,0 days 00:31:29,1889,43.9,Run,2023-12-20,85.0,153.4,167,0 days 00:09:22.202380952,3.36,,evening,4,4,0.9185628742514971
Evening Run,2489,0 days 00:15:04,906,-64.1,Run,2024-01-22,82.8,143.2,165,0 days 00:09:43.225806451,1.55,,evening,3,4,0.8678787878787878
Evening Run,3808,0 days 00:21:16,1390,-26.6,Run,2024-01-25,83.1,150.8,172,0 days 00:08:58.396624472,2.37,,evening,3,5,0.8767441860465117
Evening Run,4544,0 days 00:25:30,1547,7.3,Run,2024-01-28,83.1,146.5,163,0 days 00:09:02.553191489,2.82,,evening,3,4,0.8987730061349694
Evening Run,3218,0 days 00:17:53,1163,-50.7,Run,2024-02-01,83.5,143.9,160,0 days 00:08:56.500000,2.0,,evening,3,4,0.899375
Evening Run,5755,0 days 00:34:47,2140,-71.1,Run,2024-02-02,84.0,156.6,169,0 days 00:09:42.960893854,3.58,,evening,4,4,0.9266272189349112
Afternoon Run,6476,0 days 00:35:55,2244,-16.5,Run,2024-02-04,87.4,161.5,175,0 days 00:08:56.069651741,4.02,,afternoon,4,5,0.9228571428571428
Evening Run,2489,0 days 00:15:13,921,-98.4,Run,2024-02-06,84.7,142.6,157,0 days 00:09:49.032258064,1.55,,evening,3,4,0.90828025477707
Afternoon Run,8149,0 days 00:46:10,2788,1.1,Run,2024-02-11,86.4,156.9,173,0 days 00:09:07.430830039,5.06,,afternoon,4,5,0.9069364161849711
Night Run,2719,0 days 00:18:19,1106,10.0,Run,2024-02-13,84.5,140.7,156,0 days 00:10:50.295857988,1.69,,night,3,4,0.9019230769230768
Afternoon Run,7230,0 days 00:39:57,2421,-23.1,Run,2024-02-17,86.7,153.8,170,0 days 00:08:53.853006681,4.49,,afternoon,4,4,0.9047058823529412
Morning Run,10119,0 days 00:56:41,3410,38.1,Run,2024-02-18,87.9,160.9,173,0 days 00:09:00.699523052,6.29,,morning,4,5,0.9300578034682081
Afternoon Run,4650,0 days 00:27:37,1793,-90.5,Run,2024-02-21,84.2,142.1,160,0 days 00:09:33.356401384,2.89,,afternoon,3,4,0.8881249999999999
Evening Run,3526,0 days 00:16:34,1693,-110.9,Run,2024-02-22,89.5,137.7,167,0 days 00:07:33.881278538,2.19,,evening,3,4,0.8245508982035927
Afternoon Run,5483,0 days 00:27:19,1693,3.7,Run,2024-02-24,87.1,146.7,158,0 days 00:08:00.645161290,3.41,,afternoon,3,4,0.9284810126582278
Morning Run,9998,0 days 00:55:01,3338,4.6,Run,2024-02-25,87.1,156.3,170,0 days 00:08:51.561996779,6.21,,morning,4,4,0.9194117647058824
Evening Run,8056,0 days 00:44:57,2848,-48.2,Run,2024-02-28,86.3,149.1,165,0 days 00:08:58.323353293,5.01,,evening,3,4,0.9036363636363636
Morning Run,12899,0 days 01:08:54,4188,-39.2,Run,2024-03-03,86.2,159.2,171,0 days 00:08:35.461346633,8.02,,morning,4,4,0.9309941520467836
Afternoon Run,2300,0 days 00:12:23,792,-18.3,Run,2024-03-04,85.6,144.7,156,0 days 00:08:39.580419580,1.43,,afternoon,3,4,0.9275641025641025
Afternoon Run,3737,0 days 00:18:49,1483,-60.2,Run,2024-03-06,87.9,145.7,165,0 days 00:08:06.637931034,2.32,,afternoon,3,4,0.8830303030303029
Afternoon Run,4933,0 days 00:26:58,1731,-2.6,Run,2024-03-08,85.8,147.1,164,0 days 00:08:47.035830618,3.07,,afternoon,3,4,0.8969512195121951
Afternoon Run,14498,0 days 01:22:09,5138,7.7,Run,2024-03-10,87.2,165.3,174,0 days 00:09:07.058823529,9.01,,afternoon,4,5,0.9500000000000001
Afternoon Run,2853,0 days 00:14:54,901,-9.9,Run,2024-03-11,85.8,147.9,169,0 days 00:08:25.084745762,1.77,,afternoon,3,4,0.8751479289940829
Evening Run,3879,0 days 00:20:04,1258,-26.8,Run,2024-03-13,86.9,153.6,173,0 days 00:08:19.585062240,2.41,,evening,4,5,0.8878612716763006
Morning Run,6621,0 days 00:35:01,2118,-27.0,Run,2024-03-16,87.0,154.5,167,0 days 00:08:31.192214111,4.11,,morning,4,4,0.9251497005988024
Morning Run,16126,0 days 01:24:18,5202,41.6,Run,2024-03-17,88.6,160.2,171,0 days 00:08:24.790419161,10.02,,morning,4,4,0.9368421052631578
Evening Run,4830,0 days 00:23:16,1958,-26.7,Run,2024-03-21,88.3,146.2,162,0 days 00:07:45.333333333,3.0,,evening,3,4,0.902469135802469
Morning Run,4473,0 days 00:23:52,1450,5.2,Run,2024-03-23,86.8,153.9,169,0 days 00:08:35.107913669,2.78,,morning,4,4,0.9106508875739645
Afternoon Run,16138,0 days 01:23:17,5005,17.9,Run,2024-03-24,87.3,158.4,173,0 days 00:08:18.205383848,10.03,,afternoon,4,5,0.915606936416185
Evening Run,7551,0 days 00:41:12,2490,-101.2,Run,2024-03-29,85.1,149.9,162,0 days 00:08:47.078891257,4.69,,evening,3,4,0.9253086419753087
Morning Run,6185,0 days 00:29:17,2259,-25.8,Run,2024-03-30,88.5,146.2,166,0 days 00:07:37.552083333,3.84,,morning,3,4,0.880722891566265
Afternoon Run,13078,0 days 01:06:47,4032,6.0,Run,2024-03-31,87.8,153.4,166,0 days 00:08:12.865928659,8.13,,afternoon,4,4,0.9240963855421687
Evening Run,2654,0 days 00:15:28,944,-28.3,Run,2024-04-04,83.4,139.2,152,0 days 00:09:22.424242424,1.65,,evening,3,3,0.9157894736842105
Afternoon Run,8188,0 days 00:42:09,2585,-40.9,Run,2024-04-05,85.8,151.6,163,0 days 00:08:16.856581532,5.09,,afternoon,3,4,0.9300613496932515
Morning Run,20112,0 days 01:46:13,6565,-29.8,Run,2024-04-07,86.3,156.6,167,0 days 00:08:29.840000,12.5,,morning,4,4,0.9377245508982036
Evening Run,11384,0 days 01:00:13,3613,-49.8,Run,2024-04-12,85.7,151.3,165,0 days 00:08:30.310734463,7.08,,evening,3,4,0.916969696969697
Evening Run,3794,0 days 00:17:52,1828,-15.3,Run,2024-04-17,88.2,140.1,173,0 days 00:07:34.237288135,2.36,,evening,3,5,0.8098265895953757
Evening Run,7839,0 days 00:45:30,2741,8.1,Run,2024-04-21,83.0,143.9,155,0 days 00:09:20.574948665,4.87,,evening,3,4,0.9283870967741936
Evening Run,11871,0 days 01:06:22,3987,-10.3,Run,2024-04-22,85.6,148.3,161,0 days 00:08:59.566395663,7.38,,evening,3,4,0.9211180124223604
Evening Run,5258,0 days 00:24:24,1579,-8.7,Run,2024-04-25,87.2,155.3,171,0 days 00:07:27.706422018,3.27,,evening,4,4,0.9081871345029241
Morning Run,2985,0 days 00:18:38,1167,10.3,Run,2024-04-27,85.3,146.1,159,0 days 00:10:01.075268817,1.86,,morning,3,4,0.9188679245283019
Afternoon Run,21132,0 days 01:48:31,6520,6.5,Run,2024-04-28,86.3,152.2,168,0 days 00:08:15.887281035,13.13,,afternoon,3,4,0.9059523809523808
Evening Run,2598,0 days 00:14:52,899,6.9,Run,2024-05-01,83.2,135.1,144,0 days 00:09:14.037267080,1.61,,evening,3,3,0.9381944444444444
Evening Run,5728,0 days 00:29:44,1814,-34.0,Run,2024-05-03,85.3,151.0,165,0 days 00:08:21.123595505,3.56,,evening,3,4,0.9151515151515152
Afternoon Run,11818,0 days 00:57:54,3483,-34.8,Run,2024-05-05,86.6,157.0,169,0 days 00:07:53.297002724,7.34,,afternoon,4,4,0.9289940828402367
Evening Run,5030,0 days 00:26:10,1573,-54.3,Run,2024-05-09,85.9,156.5,170,0 days 00:08:21.597444089,3.13,,evening,4,4,0.9205882352941176
Afternoon Run,4441,0 days 00:21:18,1617,-1.1,Run,2024-05-10,86.6,146.0,168,0 days 00:07:43.043478260,2.76,,afternoon,3,4,0.8690476190476191
Afternoon Run,11267,0 days 00:55:40,3346,6.5,Run,2024-05-12,86.9,160.5,170,0 days 00:07:57.142857142,7.0,,afternoon,4,4,0.9441176470588235
Morning Run,3244,0 days 00:15:58,971,-26.8,Run,2024-05-18,86.5,166.9,186,0 days 00:07:54.257425742,2.02,,morning,4,5,0.8973118279569893
Morning Run,21483,0 days 01:46:11,6427,-19.1,Run,2024-05-19,89.1,164.5,180,0 days 00:07:57.228464419,13.35,,morning,4,5,0.9138888888888889
Morning Run,3240,0 days 00:14:56,896,0.0,Run,2024-05-26,85.5,142.0,158,0 days 00:07:25.771144278,2.01,,morning,3,4,0.8987341772151899
Morning Run,10084,0 days 00:46:45,2808,39.8,Run,2024-05-27,88.9,161.9,175,0 days 00:07:27.368421052,6.27,,morning,4,5,0.9251428571428572
Evening Run,3623,0 days 00:20:31,1235,-16.1,Run,2024-05-30,84.3,146.4,159,0 days 00:09:07.111111111,2.25,,evening,3,4,0.9207547169811321
Morning Run,8050,0 days 00:44:03,2643,-43.5,Run,2024-06-02,84.8,159.2,177,0 days 00:08:48.600000,5.0,,morning,4,5,0.8994350282485875
Evening Run,2811,0 days 00:15:54,981,-73.0,Run,2024-06-04,84.3,146.3,160,0 days 00:09:05.142857142,1.75,,evening,3,4,0.914375
Evening Run,4819,0 days 00:30:40,1957,-28.4,Run,2024-06-06,83.1,135.8,145,0 days 00:10:13.333333333,3.0,,evening,3,3,0.9365517241379311
Morning Run,3287,0 days 00:14:55,1527,-15.6,Run,2024-06-08,88.8,152.0,181,0 days 00:07:18.725490196,2.04,,morning,3,5,0.8397790055248618
Morning Run,10027,0 days 00:54:53,3307,19.2,Run,2024-06-09,85.5,156.9,170,0 days 00:08:48.571428571,6.23,,morning,4,4,0.9229411764705883
Morning Run,3993,0 days 00:20:26,1229,0.0,Run,2024-06-16,83.2,139.2,154,0 days 00:08:14.354838709,2.48,,morning,3,4,0.9038961038961039
Evening Run,2445,0 days 00:15:08,930,7.1,Run,2024-06-18,82.6,131.6,147,0 days 00:09:57.368421052,1.52,,evening,2,3,0.8952380952380952
Evening Run,4921,0 days 00:30:18,1831,17.1,Run,2024-06-20,83.0,150.2,164,0 days 00:09:54.117647058,3.06,,evening,3,4,0.9158536585365853
Evening Run,5989,0 days 00:35:53,2170,16.5,Run,2024-06-27,82.8,137.0,151,0 days 00:09:38.763440860,3.72,11756595062.0,evening,3,3,0.9072847682119205
Morning Run,4392,0 days 00:24:19,1499,16.6,Run,2024-06-29,83.5,143.5,157,0 days 00:08:54.432234432,2.73,11769989109.0,morning,3,4,0.9140127388535032
